  Executing ROBU plan AS IS (static, no recourse)...
  stop 110  t=103.145h soc=187kWh  cd=0.28 sd=4.53 h=6.49  -> y=0 brk=--- rst=---
  stop 111  t=103.408h soc=160kWh  cd=0.54 sd=4.80 h=6.76  -> y=0 brk=--- rst=---
  stop 112  t=103.677h soc=133kWh  cd=0.81 sd=5.07 h=7.02  -> y=1 brk=--- rst=---
  stop 113  t=104.536h soc=201kWh  cd=1.10 sd=5.36 h=7.88  -> y=0 brk=--- rst=---
  stop 114  t=104.822h soc=172kWh  cd=1.39 sd=5.65 h=8.17  -> y=0 brk=--- rst=---
  stop 115  t=105.108h soc=144kWh  cd=1.68 sd=5.93 h=8.46  -> y=0 brk=--- rst=---
  stop 116  t=105.365h soc=119kWh  cd=1.93 sd=6.19 h=8.71  -> y=0 brk=--- rst=---
  Robust-plan failures (raw): 4 violation(s); 0 supervisor intervention(s)

=================================================================
  ROBU SIMULATION COMPLETE
  Arrival (absolute) : 105.777 h  (105:46)
  Travel duration    : 97.777 h
  Solve time         : 44390.4 s
  Wall-clock         : 44390.5 s
=================================================================
  Oracle   : loaded from cache  solutions/oracle_RmediumCfewTmedium_24.json
  Scenarios: logs/RmediumCfewTmedium_24_ROBU_20260722_134924_066_scenarios.json
  Metrics  : violations=4 (stranding:4)  tw_hit=0% (early=0, late=1)  interventions=0  repairs=0
  Solution : solutions/RmediumCfewTmedium_24_ROBU_20260722_134924_066.json
